,vol,Date_utc
8202,0.03183469164318548,2019-09-19 20:00:00+00:00
8203,0.0318513479313684,2019-09-20 20:00:00+00:00
8204,0.03179644545433844,2019-09-23 20:00:00+00:00
8205,0.03191803294177391,2019-09-24 20:00:00+00:00
8206,0.031784548105394696,2019-09-25 20:00:00+00:00
8207,0.03167186970146333,2019-09-26 20:00:00+00:00
8208,0.03169365588831858,2019-09-27 20:00:00+00:00
8209,0.03170933888700361,2019-09-30 20:00:00+00:00
8210,0.030973727707656093,2019-10-01 20:00:00+00:00
8211,0.030948133131042426,2019-10-02 20:00:00+00:00
8212,0.030469237352896528,2019-10-03 20:00:00+00:00
8213,0.030467128924317657,2019-10-04 20:00:00+00:00
8214,0.03052416040746876,2019-10-07 20:00:00+00:00
8215,0.029927530028185594,2019-10-08 20:00:00+00:00
8216,0.030008112281314333,2019-10-09 20:00:00+00:00
8217,0.029949956800772868,2019-10-10 20:00:00+00:00
8218,0.029750632137783468,2019-10-11 20:00:00+00:00
8219,0.029702967840866484,2019-10-14 20:00:00+00:00
8220,0.029679281245616924,2019-10-15 20:00:00+00:00
8221,0.029643561661610612,2019-10-16 20:00:00+00:00
8222,0.029575785564037647,2019-10-17 20:00:00+00:00
8223,0.029662457411542012,2019-10-18 20:00:00+00:00
8224,0.029692331542732455,2019-10-21 20:00:00+00:00
8225,0.029803078100091984,2019-10-22 20:00:00+00:00
8226,0.02979801771568849,2019-10-23 20:00:00+00:00
8227,0.029864680132404776,2019-10-24 20:00:00+00:00
8228,0.029807745354853886,2019-10-25 20:00:00+00:00
8229,0.02979301390431632,2019-10-28 20:00:00+00:00
8230,0.02978514133369562,2019-10-29 20:00:00+00:00
8231,0.029424715520396386,2019-10-30 20:00:00+00:00
8232,0.02937830758645664,2019-10-31 20:00:00+00:00
8233,0.029068925605459907,2019-11-01 20:00:00+00:00
8234,0.029092634538630455,2019-11-04 21:00:00+00:00
8235,0.029102551190251826,2019-11-05 21:00:00+00:00
8236,0.028967824476454084,2019-11-06 21:00:00+00:00
8237,0.028945259863017977,2019-11-07 21:00:00+00:00
8238,0.028701026542402603,2019-11-08 21:00:00+00:00
8239,0.028703015587086888,2019-11-11 21:00:00+00:00
8240,0.02870406270224306,2019-11-12 21:00:00+00:00
8241,0.028696766756510343,2019-11-13 21:00:00+00:00
8242,0.02864654229081789,2019-11-14 21:00:00+00:00
8243,0.028645883225308182,2019-11-15 21:00:00+00:00
8244,0.028671234612950118,2019-11-18 21:00:00+00:00
8245,0.02865389148288946,2019-11-19 21:00:00+00:00
8246,0.028623051138691243,2019-11-20 21:00:00+00:00
8247,0.028677016729857382,2019-11-21 21:00:00+00:00
8248,0.028486291993681155,2019-11-22 21:00:00+00:00
8249,0.02844754709349942,2019-11-25 21:00:00+00:00
8250,0.028420379373484825,2019-11-26 21:00:00+00:00
8251,0.028413481884506913,2019-11-27 21:00:00+00:00
8252,0.028402320635081177,2019-11-29 21:00:00+00:00
8253,0.028427941574227147,2019-12-02 21:00:00+00:00
8254,0.02837131455745205,2019-12-03 21:00:00+00:00
8255,0.02838212935199493,2019-12-04 21:00:00+00:00
8256,0.028357672022955725,2019-12-05 21:00:00+00:00
8257,0.02880207485811345,2019-12-06 21:00:00+00:00
8258,0.028613772694656404,2019-12-09 21:00:00+00:00
8259,0.028701517851788733,2019-12-10 21:00:00+00:00
8260,0.028487152641209847,2019-12-11 21:00:00+00:00
8261,0.02842381547404883,2019-12-12 21:00:00+00:00
8262,0.028441718357844148,2019-12-13 21:00:00+00:00
8263,0.028430038763463266,2019-12-16 21:00:00+00:00
8264,0.02841295862532543,2019-12-17 21:00:00+00:00
8265,0.028218421776389384,2019-12-18 21:00:00+00:00
8266,0.028033120973320266,2019-12-19 21:00:00+00:00
8267,0.028017769695715383,2019-12-20 21:00:00+00:00
8268,0.028028848013959703,2019-12-23 21:00:00+00:00
8269,0.02801962739251914,2019-12-24 21:00:00+00:00
8270,0.02796021376671345,2019-12-26 21:00:00+00:00
8271,0.027944141831239958,2019-12-27 21:00:00+00:00
8272,0.027947993972766833,2019-12-30 21:00:00+00:00
8273,0.027838527484346946,2019-12-31 21:00:00+00:00
8274,0.027718800004358213,2020-01-02 21:00:00+00:00
8275,0.027601920885468756,2020-01-03 21:00:00+00:00
8276,0.027455350425644957,2020-01-06 21:00:00+00:00
8277,0.02740231077534452,2020-01-07 21:00:00+00:00
8278,0.027400437698737616,2020-01-08 21:00:00+00:00
8279,0.027353169429670594,2020-01-09 21:00:00+00:00
8280,0.02726320395831325,2020-01-10 21:00:00+00:00
8281,0.02727206501513207,2020-01-13 21:00:00+00:00
8282,0.027291029882916984,2020-01-14 21:00:00+00:00
8283,0.027260299093993925,2020-01-15 21:00:00+00:00
8284,0.02726041690923369,2020-01-16 21:00:00+00:00
8285,0.027261902851899247,2020-01-17 21:00:00+00:00
8286,0.027235346057948594,2020-01-21 21:00:00+00:00
8287,0.027203022850308338,2020-01-22 21:00:00+00:00
8288,0.02716047162329745,2020-01-23 21:00:00+00:00
8289,0.02714790479205168,2020-01-24 21:00:00+00:00
8290,0.02715340844392644,2020-01-27 21:00:00+00:00
8291,0.02721102800554082,2020-01-28 21:00:00+00:00
8292,0.027232523076397983,2020-01-29 21:00:00+00:00
8293,0.02726446214447446,2020-01-30 21:00:00+00:00
8294,0.02726661652597458,2020-01-31 21:00:00+00:00
8295,0.02731312351800183,2020-02-03 21:00:00+00:00
8296,0.027321446276571463,2020-02-04 21:00:00+00:00
8297,0.027342274035463996,2020-02-05 21:00:00+00:00
8298,0.027341642067911214,2020-02-06 21:00:00+00:00
8299,0.027368980731554415,2020-02-07 21:00:00+00:00
8300,0.027376237341024665,2020-02-10 21:00:00+00:00
8301,0.027378702616839973,2020-02-11 21:00:00+00:00
8302,0.027408657831456705,2020-02-12 21:00:00+00:00
8303,0.02740462183464782,2020-02-13 21:00:00+00:00
8304,0.027392608109255506,2020-02-14 21:00:00+00:00
8305,0.027387196303598853,2020-02-18 21:00:00+00:00
8306,0.02738955089269699,2020-02-19 21:00:00+00:00
8307,0.027396860009931256,2020-02-20 21:00:00+00:00
8308,0.027426122935646162,2020-02-21 21:00:00+00:00
8309,0.027485653342123686,2020-02-24 21:00:00+00:00
8310,0.027582123116444496,2020-02-25 21:00:00+00:00
8311,0.027583534036625154,2020-02-26 21:00:00+00:00
8312,0.02758475100876305,2020-02-27 21:00:00+00:00
8313,0.027652217038645985,2020-02-28 21:00:00+00:00
8314,0.02753810216099087,2020-03-02 21:00:00+00:00
8315,0.02755934433812433,2020-03-03 21:00:00+00:00
8316,0.02765526482130506,2020-03-04 21:00:00+00:00
8317,0.02762128173889658,2020-03-05 21:00:00+00:00
8318,0.027777331484911655,2020-03-06 21:00:00+00:00
8319,0.027891530109304098,2020-03-09 20:00:00+00:00
8320,0.02792330576603246,2020-03-10 20:00:00+00:00
8321,0.028181187840324137,2020-03-11 20:00:00+00:00
8322,0.028624441382877862,2020-03-12 20:00:00+00:00
8323,0.029716589100658105,2020-03-13 20:00:00+00:00
8324,0.030025991723164055,2020-03-16 20:00:00+00:00
8325,0.03005450187853968,2020-03-17 20:00:00+00:00
8326,0.030417459469462726,2020-03-18 20:00:00+00:00
8327,0.030423940570480604,2020-03-19 20:00:00+00:00
8328,0.030563947667323663,2020-03-20 20:00:00+00:00
8329,0.030700567028532588,2020-03-23 20:00:00+00:00
8330,0.030716558274402804,2020-03-24 20:00:00+00:00
8331,0.030850016392449157,2020-03-25 20:00:00+00:00
8332,0.030780487842155552,2020-03-26 20:00:00+00:00
8333,0.030786029652902128,2020-03-27 20:00:00+00:00
8334,0.031070063458296715,2020-03-30 20:00:00+00:00
8335,0.03121001054895563,2020-03-31 20:00:00+00:00
8336,0.031209654751630574,2020-04-01 20:00:00+00:00
8337,0.031641507014979635,2020-04-02 20:00:00+00:00
8338,0.031888537100778186,2020-04-03 20:00:00+00:00
8339,0.03308401579372857,2020-04-06 20:00:00+00:00
8340,0.03310860772296754,2020-04-07 20:00:00+00:00
8341,0.03310444612012934,2020-04-08 20:00:00+00:00
8342,0.033116504890998336,2020-04-09 20:00:00+00:00
8343,0.03319005610469004,2020-04-13 20:00:00+00:00
8344,0.033314074183118755,2020-04-14 20:00:00+00:00
8345,0.033310474885196666,2020-04-15 20:00:00+00:00
8346,0.03329054218022791,2020-04-16 20:00:00+00:00
8347,0.03326888745048598,2020-04-17 20:00:00+00:00
8348,0.033236180924295144,2020-04-20 20:00:00+00:00
8349,0.033271763164355476,2020-04-21 20:00:00+00:00
8350,0.03314081568863541,2020-04-22 20:00:00+00:00
8351,0.033140058566205596,2020-04-23 20:00:00+00:00
8352,0.03317736587908038,2020-04-24 20:00:00+00:00
8353,0.033213709236386744,2020-04-27 20:00:00+00:00
8354,0.03315487567678311,2020-04-28 20:00:00+00:00
8355,0.033066109233096726,2020-04-29 20:00:00+00:00
8356,0.033051296175056054,2020-04-30 20:00:00+00:00
8357,0.033047864243734744,2020-05-01 20:00:00+00:00
8358,0.03307155486806063,2020-05-04 20:00:00+00:00
8359,0.033083294776847155,2020-05-05 20:00:00+00:00
8360,0.033212919443741516,2020-05-06 20:00:00+00:00
8361,0.03322718729155608,2020-05-07 20:00:00+00:00
8362,0.03317284344113094,2020-05-08 20:00:00+00:00
8363,0.033223538078822695,2020-05-11 20:00:00+00:00
8364,0.03322609640603039,2020-05-12 20:00:00+00:00
8365,0.03323594967105381,2020-05-13 20:00:00+00:00
8366,0.033246350547283865,2020-05-14 20:00:00+00:00
8367,0.03329207759916057,2020-05-15 20:00:00+00:00
8368,0.03268586666070027,2020-05-18 20:00:00+00:00
8369,0.032630375614124955,2020-05-19 20:00:00+00:00
8370,0.03263389123406623,2020-05-20 20:00:00+00:00
8371,0.03264993555117832,2020-05-21 20:00:00+00:00
